,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Yo Soy Una Mujer,4eOvcZg4aLxpXVXsjt0Pe0,0.548,0.24,270400,0.325,2.18e-06,2,0.098,-8.772,1,0.0308,76.286,0.117
Y Hubo Alguien,4lmOvO7Nc0Ppdz2hk8jpHj,0.636,0.474,388360,0.879,0.0,4,0.16,-3.979,0,0.115,91.094,0.668
We Will Rock You - Remastered 2011,4pbJqGIASGPr0ZpGpnWkDn,0.676,0.692,122067,0.497,0.0,2,0.259,-7.316,1,0.119,81.308,0.475
Yo No Se Mañana,50Kk4MgRMMtxZahx29JHeI,0.248,0.719,203452,0.778,0.0,11,0.0567,-3.928,0,0.035,97.98,0.671
Paris,5ByvJeBlrYISiwy7AVEAmP,0.0673,0.528,226800,0.692,0.0,2,0.13,-6.107,0,0.0309,137.026,0.402
Contigo,5Ln1jdLhJbcaALO79qRDzu,0.276,0.315,248278,0.368,0.0,7,0.631,-8.543,1,0.0285,130.914,0.145
Enamorado Por Primera Vez,5S60dDeUtcCN0C6BsptsdN,0.716,0.569,268773,0.467,0.0,11,0.126,-8.558,1,0.0285,127.826,0.365
Primavera anticipada,5kWsKEDulYLaIXt23vMh6p,0.0805,0.453,208818,0.76,0.0,4,0.174,-5.101,1,0.0362,179.793,0.296
Se fué,5oQadhkuEdEhtdVn0QceyZ,0.622,0.734,280667,0.594,0.0,2,0.094,-7.006,1,0.0252,104.043,0.573
Quédate,6Qg8kq360lbdSXAHCvdMfK,0.277,0.711,253320,0.734,0.000382,5,0.0835,-8.774,1,0.0258,108.044,0.664
Get Busy,6bK9BH9Ts8Gj5JFvnQkzak,0.614,0.741,211666,0.824,0.0,10,0.158,-4.143,0,0.0352,100.216,0.725
Se Me Olvidó Otra Vez - Unplugged,6k2AsDKvvip54F59DIn1Mv,0.311,0.695,222261,0.927,0.0,9,0.954,-4.855,1,0.0524,103.188,0.826
Oops!...I Did It Again,6naxalmIoLFWR0siv8dnQQ,0.3,0.751,211160,0.834,1.77e-05,1,0.355,-5.444,0,0.0437,95.053,0.894
El Privilegio De Amar,6rtKl9jiKZnZicze5b8edh,0.715,0.5,235787,0.501,0.0,2,0.123,-5.774,1,0.0365,184.197,0.308
Dame un Poco Más,6wJwdauYAuJmBqLbodXn0T,0.525,0.688,246909,0.615,0.000737,8,0.053,-10.333,1,0.0369,93.637,0.879
Volveré junto a ti - Santiago del Chile - Live,78jgtGQ3vc7jv8v23647Fk,0.223,0.597,262933,0.723,0.0,0,0.937,-4.174,0,0.0271,96.992,0.301
Eye of the Tiger,7F8JbSCPBXm3IxMx2UMMhH,0.195,0.806,244080,0.599,0.000455,0,0.0837,-9.379,0,0.0323,109.016,0.556
Como Me Duele Perderte,7deJdnhCWumMOBJtXeIVyN,0.476,0.765,267973,0.459,0.0,6,0.171,-10.173,1,0.0319,139.908,0.763
Fantasía Herida,7gXoJlCvkADgCISM3XFIu1,0.561,0.763,309387,0.742,3.75e-05,8,0.29,-7.411,1,0.0434,165.343,0.922
Qué Será de Mí,7iW0cJKaduky6UHoIfEdRb,0.467,0.726,274103,0.877,2.25e-05,3,0.134,-3.944,0,0.0402,165.74,0.903
Y Es Que Sucede Así,7pXuEZPcMT6aDpaKsMp73f,0.142,0.673,224587,0.717,1.2e-06,11,0.0638,-11.39,0,0.0578,149.64,0.83
Así Es El Calor,7u1EqRx9GVICVL1wLPvHId,0.0391,0.354,158293,0.78,0.0,6,0.142,-11.21,0,0.182,164.397,0.89
Nu Nu,7xZ6LWwcKcZzazfbTbgvLX,0.0121,0.806,328533,0.727,0.00892,6,0.0456,-12.783,1,0.0631,131.252,0.89
