,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Cuando Pase El Temblor - Remasterizado 2007,3uMYq07Kj5m564OQwdSCrD,0.0314,0.652,229160,0.607,0.00285,0,0.0721,-8.657,1,0.0368,94.089,0.72
Trátame Suavemente - Remasterizado 2007,65DBZofI0b79kfHTcWWDuU,0.043,0.738,200800,0.8,0.0543,11,0.595,-3.366,0,0.0283,122.858,0.532
Persiana Americana - Remasterizado 2007,71awpJoi5bqGMBrTkHDDoL,0.0121,0.603,292267,0.929,0.00217,4,0.131,-4.549,0,0.0407,101.208,0.537
Mor,0HGoUFjnLX2YuFXxcopZdR,0.554,0.781,228987,0.651,5.48e-06,0,0.0726,-6.573,1,0.0919,96.988,0.686
Roast Yourself Challenge AEME!,6aYLIQSKJ9tfPFsTlcVei0,0.476,0.816,241467,0.712,0.0,8,0.568,-5.021,0,0.0913,92.101,0.696
Hermana Te Odio Pero Te Quiero,3lWOay2eth8TMbzl0PETGZ,0.168,0.706,198754,0.724,0.0,7,0.142,-7.33,1,0.178,173.919,0.506
Jar of Hearts,0HZhYMZOcUzZKSFwPOti6m,0.726,0.349,246587,0.348,0.0,3,0.12,-6.142,1,0.0316,74.541,0.0886
you are my sunshine,4cNpO3kF8rqcH8G3huFCJp,0.978,0.574,82200,0.121,1.04e-06,10,0.353,-14.275,1,0.0426,115.165,0.657
human,4IqcDJPzDL8Hq8KwAX4jUE,0.132,0.439,250707,0.489,0.000643,8,0.114,-6.286,1,0.0368,143.808,0.253
Uno los Dos,7Cg58yt6PVyvckydVLRZsp,0.398,0.771,215427,0.436,0.0,11,0.154,-6.531,1,0.0485,122.917,0.188
Perfecta,09QfIIP4NUx4A3thmovb2o,0.178,0.648,225413,0.727,0.0,0,0.335,-5.45,1,0.0361,169.941,0.839
Don,0WajUW5XINeraP2w0F3F8E,0.0215,0.824,183973,0.738,0.0,6,0.0495,-5.431,1,0.0867,119.973,0.961
Dama y Señora,7Ltmj3W26gvAObnSMpyOOq,0.205,0.646,208653,0.902,0.000478,11,0.594,-5.356,0,0.0348,130.026,0.812
Rubia Macanuda,2fJx1rNMM7X48i2cCdK83R,0.16,0.688,205013,0.725,0.0127,0,0.181,-6.397,1,0.0263,129.016,0.43
Gente Sencilla,0MIfRnmC8VPwDd2wGwv5Ga,0.457,0.654,190600,0.508,0.0,0,0.203,-5.886,1,0.028,142.673,0.801
Dame Tu Mano,2qHp6ZLbB1MZ5IofBYOd3q,0.789,0.673,182044,0.335,0.0,7,0.184,-7.09,1,0.0302,110.357,0.88
Todo Es Tan Distinto,1nc5kQOFw5KbF5WoRL48OG,0.787,0.466,168000,0.363,0.0,5,0.157,-7.888,1,0.0382,199.903,0.566
Así Nos Queremos,0mvGVXEih1HyeOyQieUx9u,0.543,0.73,160000,0.391,0.0,1,0.157,-10.637,1,0.269,149.988,0.888
Andas En Mi Cabeza,23WI5V2eD4EyGKxSl7Pyeq,0.0244,0.671,247493,0.954,0.0,9,0.111,-1.87,1,0.13,104.114,0.556
Niña Bonita,4u5xLMRN0dgKBFFN8FiNgv,0.257,0.676,216787,0.91,0.0,9,0.153,-5.096,1,0.132,120.022,0.716
Me Voy Enamorando - Remix,0SUukeNYkHMk8bxwgGQKJa,0.0894,0.708,215800,0.87,0.0,10,0.347,-4.473,1,0.0557,99.963,0.547
Nunca Es Suficiente,2niUiaoJDCzNldW0pV66zb,0.511,0.699,237107,0.61,2.31e-06,2,0.127,-9.308,0,0.0541,178.112,0.846
Lo Que Construimos,5wWxUdgn2OugIOvLJOdreH,0.769,0.667,279213,0.287,3.61e-06,0,0.106,-9.718,1,0.0334,127.981,0.545
Soledad y el Mar (feat. Los Macorinos),1Xtz05nIgJiEYdncfd1w8h,0.896,0.726,214547,0.177,2.14e-06,1,0.116,-14.824,0,0.0353,92.934,0.618
(I Can't Help) Falling In Love With You - Can't Help Falling In Love,3WXURJDWa3YGUQtVMYrXfK,0.962,0.462,185204,0.078,3.61e-06,0,0.104,-16.989,1,0.0327,97.388,0.213
M-40,6kFJXL8yuKMxq6oVLbjGgO,0.0145,0.709,168649,0.718,0.359,0,0.0843,-7.234,0,0.0448,148.062,0.925
(nononono),2EzFrZlFsFnbEsKjnuaBVo,0.00127,0.567,172276,0.818,0.0213,0,0.044,-4.257,1,0.0464,159.961,0.886
Roast Yourself Challenge,5NoE12bRYiehlnDpOcI7A6,0.191,0.816,189764,0.705,0.00108,3,0.111,-9.998,0,0.161,92.989,0.795
Debo Confesar,2uz9kAYAGjaw1PwpqXjn6k,0.108,0.768,197590,0.562,0.00878,6,0.258,-8.589,0,0.0403,123.995,0.399
Casa del Árbol,7xg09WHYGwoTiQjntYAHZM,0.415,0.842,190500,0.702,0.000105,9,0.0549,-6.034,0,0.0942,93.019,0.832
Los 90´s,3pq9k5BBgk34C192d7kisl,0.00355,0.347,202750,0.897,0.0,7,0.154,-3.685,1,0.0373,189.939,0.677
Yo Mismo,2MccjOeWhfskq6jaxonqWu,0.000502,0.528,319125,0.822,5.45e-06,2,0.106,-5.789,1,0.0295,130.007,0.544
Tu Luz,1FJBxcVs3f0awoDBGCIOBX,0.0314,0.614,204125,0.74,0.000226,1,0.279,-4.223,0,0.0264,131.914,0.336
TQG,0DWdj2oZMBFSzRsi2Cvfzf,0.673,0.72,199440,0.63,0.0,4,0.0936,-3.547,0,0.277,179.974,0.607
X SI VOLVEMOS,4NoOME4Dhf4xgxbHDT7VGe,0.334,0.794,200120,0.807,0.0,1,0.104,-3.447,0,0.326,178.003,0.575
CAIRO,16dUQ4quIHDe4ZZ0wF1EMN,0.483,0.957,198667,0.677,0.000438,5,0.0961,-3.979,0,0.292,115.0,0.469
Sola,111r6uPOzxreJcANJtUhMn,0.0133,0.698,225880,0.721,0.000119,7,0.165,-6.578,1,0.0303,91.986,0.779
El Anillo Y Vos,7Ac5c1YpPx6tdzpwqqihbi,0.0156,0.737,210493,0.842,0.00124,5,0.0913,-4.281,1,0.0439,93.988,0.964
Vamos a Hacerlo,2f2PQnR2ltgeKZF1vRSoLq,0.138,0.713,253187,0.598,1.17e-05,4,0.283,-7.332,1,0.0232,106.979,0.476
Rayando El Sol,4Ofg5uuH7qqDIXpAJMpXZV,0.45,0.643,250107,0.809,1.22e-06,7,0.154,-3.275,1,0.028,112.677,0.499
Oye Mi Amor,5EJ2THuhAapEIeQOtXUQ0x,0.0102,0.543,263306,0.903,0.00585,11,0.0862,-6.658,0,0.039,162.241,0.962
Clavado En Un Bar,78DVpEWwmJFC25KGz8fJuE,0.00737,0.634,310813,0.854,2.49e-06,11,0.0664,-3.444,1,0.0369,148.003,0.564
Tonight I Celebrate My Love,7JOyY9GA3P2Evx50oetDKb,0.803,0.482,211000,0.211,1.36e-05,3,0.154,-14.518,1,0.0318,116.902,0.158
"Beauty and the Beast - from the Soundtrack ""Beauty and the Beast""",7B3UAPLYAbwXVgbHSKEaTw,0.643,0.463,249240,0.4,2.46e-05,6,0.131,-9.999,0,0.0308,77.314,0.121
A Whole New World (Aladdin's Theme),4tS8xQfyPGc7f4lJ1JP6BX,0.627,0.516,243493,0.32,0.0,2,0.144,-10.487,1,0.0303,107.894,0.131
Savage Love (Laxed – Siren Beat) [BTS Remix],4TgxFMOn5yoESW6zCidCXL,0.16,0.758,184905,0.598,0.0,0,0.295,-5.695,0,0.0868,149.836,0.658
Sweet & Sour (feat. Lauv & Tyga),3ZWhRS2EJVL5B0IEzkcvZa,0.092,0.827,163228,0.73,1.35e-05,1,0.258,-5.324,1,0.0934,95.003,0.679
Laxed – Siren Beat,3BJiF37kmX4HCfYSO7qBnQ,0.0577,0.736,201990,0.62,0.692,0,0.318,-8.481,0,0.11,150.026,0.959
Como te extraño mi amor,6hFHsQWB7HdVrSe7efRR82,0.0823,0.791,214880,0.759,4.44e-05,9,0.0993,-5.67,1,0.037,124.725,0.917
Las flores,0oakHTPj4SF7Si0NAsLwi8,0.186,0.615,135133,0.928,4.4e-06,10,0.147,-4.218,1,0.0412,156.926,0.962
La ingrata,19ScoKGqnfUggyqOVQjsoH,0.0854,0.748,212000,0.835,1.97e-06,7,0.0365,-5.731,1,0.0351,142.942,0.896
El Ultimo Adiós - Varios Artistas Version,0tzixmHNQfE6S6SirSToxW,0.641,0.276,237467,0.572,0.0,1,0.2,-7.818,1,0.0377,77.986,0.285
Bendita Tu Luz,0Qmx9OF4z1arPVTcu7wM9W,0.156,0.79,266027,0.747,3.02e-06,7,0.108,-6.019,1,0.029,115.997,0.636
Bachata En Fukuoka,6IfMD01z39P15HKezjdaMP,0.77,0.878,191107,0.555,0.0,0,0.0663,-7.301,0,0.0343,132.936,0.928
X SI VOLVEMOS,4NoOME4Dhf4xgxbHDT7VGe,0.334,0.794,200120,0.807,0.0,1,0.104,-3.447,0,0.326,178.003,0.575
Propuesta Indecente,5PycBIeabfvX3n9ILG7Vrv,0.499,0.757,235133,0.632,0.0,2,0.0723,-6.83,1,0.0549,122.936,0.742
Ella Quiere Beber - Remix,3f5lA8nnc4YYF1qf78WpHw,0.265,0.75,219357,0.665,0.0,8,0.0515,-3.083,1,0.124,95.239,0.697
Manila,2hBkoDhuGk2AtSCprEFDFP,0.234,0.678,144621,0.735,0.0,7,0.423,-5.996,1,0.0617,150.091,0.71
La Cintura,6VUJQqyeQhAZHkQbSDqLtI,0.0222,0.706,204667,0.844,0.0,6,0.355,-4.054,0,0.0737,100.005,0.762
Solo Para Ti,2uAgZ0PelSImQe3BME9CiT,0.146,0.721,198107,0.806,0.000319,5,0.341,-6.279,0,0.0549,120.038,0.753
Lobo-hombre en París,4akYOw6ZJu7WIbZViLrJqc,0.0162,0.602,232160,0.952,4.92e-05,9,0.112,-5.195,1,0.0628,146.287,0.75
Lobo Hombre en París - Versión Sinfónico [En Vivo],1mlnmVqp3mnCIFwwk7uH8C,0.0788,0.396,286893,0.61,1.41e-05,9,0.686,-9.262,1,0.0346,126.203,0.109
Negrita,5xtrS1oKSvolhkmvocf6r9,0.372,0.608,243920,0.785,0.0109,5,0.0667,-7.076,0,0.0407,80.113,0.744
Festival,0SBrGzg3tqlKCWVelWHXYm,0.193,0.685,207581,0.79,8.13e-06,8,0.0699,-5.623,1,0.0476,123.897,0.655
Gracias,2XkJwxrcrjL78IrDKBBRYJ,0.382,0.697,206658,0.796,0.0,0,0.0965,-6.168,1,0.0409,170.033,0.908
Despertar,5VZHMNKKYRul576P9Hqj6d,0.157,0.77,198000,0.691,0.0,3,0.0567,-8.873,0,0.183,80.009,0.655
Te quiero,6tu2FHuKL9C8pwNrityweQ,0.0029,0.736,225760,0.711,0.000275,2,0.0948,-5.503,1,0.0352,112.305,0.72
El ataque de las chicas cocodrilo,3quyxN3SapEsojxk1Uw10K,0.0291,0.506,184360,0.809,0.000234,10,0.0909,-5.754,1,0.0539,119.651,0.559
Marta tiene un marcapasos,1XvfncS1t4BNkh37klHeqj,0.00321,0.596,132853,0.947,3.78e-05,11,0.0897,-3.225,0,0.0547,102.238,0.487
Bye Bye,2FSYfKAApea3U42phhBOIc,0.00168,0.634,349507,0.84,0.0237,6,0.207,-5.933,1,0.0351,97.998,0.393
La Pachanga,1x6bkwDyWIOZNFY5blRSs1,0.00244,0.681,281933,0.918,0.000535,9,0.119,-4.83,0,0.0508,105.031,0.551
Auto Rojo,5PSCWHpXi8I45NXURHyhBA,0.158,0.764,306000,0.82,0.0,1,0.0939,-6.073,1,0.0441,104.527,0.688
Libertad,1kG7gfH4HDUlDht0VZYkiP,0.0648,0.605,218079,0.703,0.0,4,0.117,-6.707,1,0.0303,132.081,0.686
Resistiré,5Z3eEWd02O1RekV96ohDPx,0.167,0.704,285611,0.764,0.0,4,0.235,-6.508,0,0.026,100.018,0.709
MENEITO,2nSNqawExgEYd5k0CATOwO,0.114,0.823,198197,0.842,0.0,6,0.0593,-3.484,1,0.0502,122.024,0.961
Flaca,1p7m9H4H8s0Y7SgRm7j3ED,0.21,0.739,277653,0.745,0.0135,7,0.127,-6.658,1,0.0267,109.326,0.949
Aunque no sea conmigo,0dRY4OrSY53yUjVgfgne1W,0.458,0.461,212560,0.715,1.56e-05,4,0.719,-6.246,0,0.0281,86.09,0.455
La parte de adelante,0fHTVPRRKmWaRuIwrsNTMp,0.494,0.591,261627,0.777,0.0,9,0.383,-6.307,1,0.0401,123.264,0.621
Shivers,50nfwKoDiSYg8zOCREWAm5,0.281,0.788,207853,0.859,0.0,2,0.0424,-2.724,1,0.0856,141.02,0.822
Shape of You,7qiZfU4dY1lWllzX7mPBI3,0.581,0.825,233713,0.652,0.0,1,0.0931,-3.183,0,0.0802,95.977,0.931
Bad Habits,3rmo8F54jFF8OgYsqTxm5d,0.0451,0.807,230747,0.893,2.79e-05,11,0.366,-3.745,0,0.0347,126.011,0.537
Kilómetros,4Jr2cHZaIe1rmdVlc5efIy,0.0181,0.564,191461,0.966,0.0,7,0.32,-4.184,1,0.0811,163.047,0.92
Quereme Así,5SYefHqRXNFjmBLICBseWw,0.378,0.588,262067,0.899,0.000627,6,0.362,-4.923,0,0.0419,149.062,0.879
Todos Locos,20j3mg8wGS2d3HbTrYWLsk,0.253,0.743,142187,0.821,1.32e-05,7,0.0247,-4.229,1,0.0412,89.984,0.888
¿Qué Haces?,3bAh5lidBKbQSABt7r8dNF,0.0177,0.753,201493,0.537,0.0,0,0.439,-6.222,1,0.0482,111.936,0.503
Más de Lo Que Soñé,0mFGoLgTBE2346c0cdZo7I,0.186,0.481,222906,0.502,0.0,7,0.102,-7.951,1,0.0606,160.132,0.351
Desde Cero,3uHyfqpfIquDj2Nw8DnrJ9,0.235,0.757,197533,0.759,7.24e-06,6,0.109,-5.441,0,0.0495,90.009,0.928
She's So Gone,4DTrKnvkHtwQN6kBu4XXIF,0.0277,0.518,186453,0.861,1.42e-06,11,0.249,-4.002,1,0.0673,141.986,0.457
"Determinate - From ""Lemonade Mouth""",4qEoqyPbLYnLOii6mKlIjI,0.00361,0.562,198107,0.768,0.0,1,0.0742,-5.006,0,0.0488,139.968,0.218
A Whole New World,5viFjDGTnrApmUY5c8qkfw,0.225,0.395,175594,0.375,0.0,0,0.145,-7.948,1,0.034,121.04,0.131
"Young, Wild & Free (feat. Bruno Mars)",3FNy4yzOhHhFBeA5p4ofoq,0.0897,0.553,207347,0.652,0.0,0,0.111,-6.685,1,0.206,94.505,0.551
"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",4dASQiO1Eoo3RJvt74FtXB,0.255,0.502,243491,0.786,0.0,9,0.65,-4.378,0,0.317,169.021,0.739
The Thrill,56oGoEjA9eTZYgsttEFKY3,0.277,0.817,234334,0.775,0.0,10,0.108,-4.767,0,0.108,126.984,0.806
Quiéreme Mucho,08bwr5QcLWV9LeKi8T90nD,0.0157,0.551,220920,0.542,3.54e-05,10,0.334,-8.899,0,0.0315,104.887,0.473
Peligro,4igu6wUj0O7ZGXUArbBrWI,0.493,0.696,222320,0.734,0.00256,11,0.0912,-9.846,0,0.0344,101.039,0.862
"Ojos Claros, Labios Rosas",29GrGzUHri2cpt1v2TTimI,0.00532,0.51,260040,0.419,0.233,9,0.273,-11.864,0,0.0507,123.967,0.714
La Botella,3dtGHZyEGmKSmQoAPcbvyb,0.216,0.757,177293,0.795,3.04e-05,0,0.0668,-4.562,1,0.0442,118.012,0.921
Las Solteras,2ckJCt5gFJ1tB4etHN90TD,0.0463,0.822,240692,0.778,0.0,8,0.0653,-4.7,0,0.0487,100.107,0.825
Te Extraño Tanto,2NHLLAhayJKBdDbRwObGCY,0.216,0.662,281496,0.686,0.0,2,0.0611,-4.216,1,0.0555,81.944,0.38
Vasos Vacíos - Remasterizado 2008,198qSChSMQFuSimdeeY9gK,0.346,0.708,279987,0.672,1.97e-05,7,0.382,-5.538,1,0.0352,134.635,0.963
Siguiendo la Luna - Remasterizado 2008,1orgfjGJoycODSItcGVatE,0.0121,0.733,291973,0.602,4.64e-06,7,0.0642,-7.65,1,0.084,80.472,0.832
Mal Bicho - Remasterizado 2008,5nofWp3plvxYX1xgHpe4fi,0.116,0.724,243720,0.939,0.0,0,0.0225,-4.223,1,0.065,103.091,0.735
Sin Control - Team Leyenda,3CarKpTMgdhZeBjoDaEbtg,0.12,0.853,219858,0.548,3.6e-06,9,0.0834,-7.642,0,0.0865,100.017,0.583
Roast Yourself Challenge,7jQJodtShR5oSmHLlqLyOf,0.301,0.77,225586,0.655,0.0,5,0.0887,-6.514,0,0.0422,102.442,0.94
Volverte a Conocer,3JybjFE3KlghnOlBOakYzi,0.0164,0.805,183652,0.804,0.0,11,0.113,-7.735,0,0.0389,114.972,0.262
No Dejes Que...,5nzEilkVhvnCD0xpW3raTy,0.429,0.613,279160,0.898,1.29e-06,2,0.272,-7.593,1,0.0368,134.033,0.763
La Célula Que Explota,5mB0MGsRfKZALHrXjnktCK,0.44,0.425,215867,0.479,0.000109,2,0.378,-12.22,1,0.0419,123.217,0.279
Viento,6QJCZyJv1fhkCyZA3lRoAD,0.304,0.586,236333,0.855,0.0,11,0.129,-5.947,0,0.0327,124.917,0.448
Dios te hizo tan bien,4AwOAvU1SfLkDVqDIiwhHc,0.723,0.724,233337,0.349,0.0,7,0.105,-7.539,1,0.0869,134.083,0.734
Le Pertenezco,6wpZ45DvZTu4aK2sgcOXaz,0.517,0.7,226040,0.662,6.74e-06,9,0.0846,-4.826,1,0.0288,122.968,0.493
Dios te Hizo Tan Bien,4yA6nWicM1OtcEqzFzCer0,0.278,0.602,194521,0.563,0.0,5,0.185,-4.201,1,0.0572,149.768,0.854
"My Heart Will Go On - Love Theme from ""Titanic""",33LC84JgLvK2KuW43MfaNq,0.732,0.428,280000,0.276,5.33e-06,4,0.117,-11.729,1,0.0312,99.195,0.0382
"Because You Loved Me (Theme from ""Up Close and Personal"")",28UMiBhn383n9S7GL4tsxD,0.314,0.615,273667,0.467,0.0,1,0.099,-9.883,1,0.0327,119.919,0.177
It's All Coming Back to Me Now,5EQzuYfTZt7B2LqlvTF49l,0.753,0.384,456867,0.438,0.0,0,0.101,-9.149,1,0.0362,87.903,0.287
Radio 2000,4gpA7rB6tMd13jD95fQH6h,0.0161,0.653,213719,0.8,0.0,7,0.293,-6.653,1,0.0452,141.957,0.594
HORÓSCOPO,5OKYKMtXecYISAq96jNsG1,0.0872,0.891,263779,0.45,0.0,7,0.119,-7.154,0,0.0833,131.957,0.791
Videojuegos :(,74uE3h2EupXVQXPkEw2gZb,0.56,0.808,189298,0.507,0.0,3,0.289,-6.632,1,0.114,102.003,0.827
La Muralla Verde,6OKhBvddAlWxxFnjbpilhu,0.155,0.717,161440,0.837,1.15e-05,8,0.422,-6.968,0,0.0282,129.881,0.919
Luz De Dia,6TqXieeBcZZHyaO14hQpKx,0.478,0.657,268867,0.447,0.00105,0,0.0995,-13.148,1,0.0303,121.989,0.523
Tu Carcel - En Vivo,5B3O540sH6u6mf61HWrNzQ,0.152,0.639,242413,0.745,4.26e-06,2,0.914,-5.455,1,0.0291,117.457,0.59
When You Say Nothing At All,0gcjc7Vt5xtcfmJgf6g2IO,0.161,0.461,256827,0.448,1.18e-06,7,0.0811,-10.665,1,0.0246,173.86,0.418
If Tomorrow Never Comes,7tbJozWewwmFvTkXCUFtt0,0.333,0.555,214307,0.496,0.0,10,0.0956,-6.136,1,0.028,79.01,0.27
Lovin' Each Day,61fUmn6wYvU7qS62wNvQFN,0.0178,0.541,212973,0.899,2.95e-06,1,0.286,-6.261,1,0.0633,106.676,0.829
El Ultimo Adiós - Varios Artistas Version,0tzixmHNQfE6S6SirSToxW,0.641,0.276,237467,0.572,0.0,1,0.2,-7.818,1,0.0377,77.986,0.285
El Duelo,3XHg42QOqlevRU7jXRkAKk,0.0568,0.55,194573,0.848,0.0141,4,0.322,-6.422,0,0.045,107.069,0.547
Día Cero,0LJgnWjRvbM60ieEVAJcAO,0.0438,0.684,271707,0.763,7.68e-05,7,0.0916,-6.861,0,0.046,99.918,0.678
