|id|acousticness|danceability|duration_ms|energy|instrumentalness|key|liveness|loudness|mode|speechiness|tempo|valence
Странный|2o9oLgZGsEp11Q58bWcRV9|0.868|0.721|141232|0.558|0.0554|10|0.106|-11.25|0|0.112|101.998|0.0917
Disparada - Ao Vivo|2WPZB6IvAUXxxIWbfx23oM|0.00853|0.319|142387|0.791|7.78e-06|5|0.718|-6.862|1|0.0426|111.445|0.223
Pot-Pourri: Sinônimos / Pense Em Mim / É o Amor - Ao Vivo|7nTzdZys23dEG15phgLnif|0.00372|0.14|350112|0.878|0.0|0|0.774|-6.028|1|0.0618|74.014|0.336
Nascemos Pra Cantar - Ao Vivo|5yxYeE2zx0uUvZgtEqFAbb|0.000757|0.536|201340|0.945|5.97e-05|2|0.981|-6.353|1|0.0525|132.146|0.642
Hasta el Amanecer|3D5d0wWYacxGLOtsci7qTq|0.103|0.599|213328|0.836|0.0|11|0.0911|-5.704|0|0.0635|175.911|0.538
A Media Luz|7f3kxoanVFxmGBK3QCPnuK|0.0156|0.586|230955|0.902|0.0|4|0.347|-6.039|0|0.064|178.105|0.739
Con los 2 a la Vez|4X28cGK16NANs2tDa1b6sN|0.0903|0.746|238710|0.868|0.0|3|0.06|-5.978|0|0.129|92.991|0.872
akel pastel|7FRvGjOh3BrrV0LdQZKH2b|0.00599|0.623|217468|0.617|0.0|2|0.132|-4.789|1|0.108|153.072|0.627
KVERNA|1r4tFbHznReTSdMGl5Wntp|0.404|0.787|240000|0.524|0.0339|4|0.0641|-6.679|0|0.0392|128.013|0.375
ke será de mí|2Nbv8V7VtWUohwHmtFBJ9y|0.151|0.909|163333|0.203|0.00208|0|0.354|-9.501|1|0.0646|90.0|0.389
Sucesos|7sO9sSyIfC1tjmKwPz6c1A|0.274|0.62|270279|0.666|0.00102|10|0.0548|-8.217|0|0.0361|101.412|0.765
La Parranda Se Canta|1iEsuDltdy3UifGV88e5QL|0.279|0.699|321240|0.647|1.72e-05|9|0.0475|-7.511|1|0.0547|81.444|0.853
Vuela Pajarito|3FwiEMnutaq2QpDKB4gFM8|0.578|0.684|255200|0.768|7.39e-06|1|0.0396|-7.345|1|0.0399|102.234|0.905
Lágrimas|5fsdtgdMln1SjVbGbiseBP|0.426|0.721|267304|0.741|1.12e-06|2|0.243|-3.071|0|0.0566|91.976|0.845
Mix Verano|2V4skf9NDhFCZpLaIGvX31|0.281|0.604|428784|0.776|1.59e-06|11|0.649|-4.451|0|0.0593|99.559|0.715
Y Me Dolió|1PJGMJ5yZCBOOPJ6R51zC6|0.293|0.671|219848|0.886|5.34e-06|9|0.11|-3.109|0|0.0394|100.018|0.868
All Nighter|3jksOdXCaDXyGiZ7L4YZbp|0.0364|0.753|134880|0.919|0.0597|11|0.324|-6.202|0|0.0507|124.985|0.376
The Motto|3j11iDncb7ZeDMw7lFucqM|0.0301|0.754|164819|0.763|2.23e-05|7|0.0901|-4.627|0|0.0435|117.953|0.464
10:35|36gcliMRX1vCpgnrZE3dFZ|0.0683|0.696|172253|0.793|3.78e-06|8|0.18|-5.733|1|0.097|120.003|0.698
A State of Trance (ASOT 1117) - Intro|1lHF10j9m5VbAcvxGCUULr|0.00213|0.471|41604|0.832|0.000808|5|0.778|-9.173|0|0.066|128.198|0.287
A State of Trance (ASOT 1117) - Coming Up|1sYQIaumsqoc83GxVCjPuu|0.00302|0.635|32875|0.831|0.0|8|0.35|-7.419|1|0.264|128.365|0.904
Fernet (ASOT 1117)|5vXyhjgQetwlPmtgrV8CyB|8.07e-05|0.572|176271|0.901|0.25|1|0.214|-8.086|0|0.0757|128.097|0.233
Estou apaixonado - Ao vivo|21nRe16pBGWIBtYunk7jC0|0.76|0.484|342427|0.369|0.0|0|0.907|-12.954|1|0.035|101.56|0.402
Eu me amarrei - Ao vivo|5f9dPw1SrdTyKAJrs6a3rE|0.234|0.781|196867|0.722|0.0|7|0.263|-9.628|1|0.0275|134.429|0.979
Só dá você na minha vida|3pJ9iMQgRsXq7w7OuQ2rrY|0.468|0.491|181467|0.65|0.0|5|0.0759|-7.018|1|0.0423|204.338|0.506
Queriéndote|5qf8lBMF49mfNILgF1TYTG|0.115|0.863|147813|0.804|6.56e-05|10|0.235|-4.346|0|0.0583|103.042|0.725
La Culpa|659U6YFHPlLckw6uzgywpW|0.065|0.819|186507|0.84|9.22e-05|0|0.104|-3.52|1|0.128|111.034|0.695
Mi Locura|4eWLRef3IqksN5hv03zUza|0.174|0.807|220067|0.666|0.0|7|0.296|-5.223|0|0.0411|107.968|0.833
Disimula|4Aqmf8ZdTxyf55ihZBoVum|0.127|0.767|192147|0.586|0.0|0|0.065|-8.016|1|0.0373|105.534|0.92
Tu Amor Me Esta Matando|4fNMz0nPN8gw0g8WAnZSLJ|0.286|0.774|205013|0.61|0.0145|4|0.0856|-7.74|0|0.269|118.822|0.813
Remolinos|2kH386wMhKdHWfEGInnwpo|0.316|0.676|229227|0.672|0.0|0|0.161|-6.455|0|0.0802|102.176|0.97
Coração Quebrado|07kYg65bnYrOW050kdbhR4|0.412|0.542|191840|0.44|0.0|2|0.277|-7.125|1|0.0264|97.583|0.71
Depois de Mim|14vpUzU03edC5wdwqimR6m|0.588|0.391|250440|0.415|0.0|10|0.14|-8.571|1|0.0376|88.143|0.496
60 Dias Apaixonados|2z8eiyRTUHuBSzOt5Z7lal|0.44|0.796|126600|0.621|0.0|0|0.328|-6.065|1|0.0323|130.338|0.969
La fiesta del mariachi|6tiY3rQJZ8m1SYDm2h6bJJ|0.0942|0.573|164413|0.861|0.0|7|0.101|-2.726|1|0.0381|88.044|0.869
No me amenaces|7FaDBpQuCQxWL0nAYTg8n1|0.486|0.397|148653|0.58|0.0|9|0.104|-3.819|1|0.0369|79.922|0.696
Llamarada|6JEgMLyMEqFTaoQyMg4vhQ|0.118|0.544|204533|0.707|0.0|7|0.506|-3.568|1|0.0305|146.143|0.631
HECHO M13RD4|2PuiElXpFCVELrL2dTdpJC|0.913|0.581|166748|0.324|0.00249|9|0.217|-14.691|0|0.153|138.405|0.24
Me Da Lo Mismo|1UCUqFUvptc9hIAYAbFlXh|0.339|0.673|246481|0.629|0.0|2|0.0955|-5.44|0|0.0881|180.044|0.694
Ya Me la Sé|34Uv22Dr62dDJlqWckF0N0|0.536|0.936|181299|0.499|0.0|0|0.0837|-8.641|0|0.0511|129.954|0.615
Levántate|18qvPj6CdpcHJ2CXzwJtPu|0.00512|0.683|226271|0.768|3.37e-05|7|0.141|-5.626|1|0.0885|126.035|0.518
Amanecer|5jsj1mzpDUQny3DX3065RJ|0.0885|0.748|215162|0.806|0.0|1|0.0963|-5.736|1|0.0899|127.967|0.753
Todo Para Mi|1Kei5yEQ9Axxh5HHmXq6k5|0.0467|0.625|222333|0.867|8.4e-05|5|0.106|-4.658|1|0.0264|131.959|0.584
Amor Mío|5MbWCDdVigvzp6tMJXPmzG|0.736|0.592|158000|0.572|0.0|2|0.121|-7.535|1|0.0322|97.086|0.388
Cancionero|2tW18xPyOy0dIM5gxhVPQy|0.708|0.299|242000|0.47|0.0|2|0.119|-8.599|1|0.0373|81.008|0.125
Como Se Lleva un Lunar|5BcvEhQSa2TR4hgEtlmv0E|0.681|0.462|211000|0.55|7.13e-05|0|0.101|-8.235|1|0.0559|87.612|0.251
SAOKO|4n1WwhKzKHUX598tvU1wMu|0.793|0.835|137534|0.772|2.01e-05|0|0.515|-5.711|1|0.247|100.034|0.683
CANDY|4AIA8hN351mjpB5lXfUsJH|0.883|0.641|193489|0.493|0.0174|4|0.155|-5.75|0|0.182|179.842|0.419
LA FAMA|77VjuBo3CJbamC3gzaUzK9|0.944|0.769|188121|0.299|3.69e-05|0|0.122|-7.909|0|0.0491|135.985|0.805
Que Fácil Es Decir (Que Te Perdone Tu Señora)|6KpTS7Podmg6FgHFThIIOl|0.485|0.555|177424|0.734|1.31e-06|7|0.31|-3.441|0|0.0656|110.764|0.684
No Hay Vacante|2MokZPBp13MphZsVOy6yc3|0.671|0.409|165460|0.589|0.0|9|0.0964|-7.602|0|0.0388|82.666|0.452
Que No Te Vaya a Sorprender|1fbOousQcUZJqb8eVOfGYF|0.384|0.477|196467|0.669|0.0|2|0.115|-4.473|1|0.0275|77.997|0.435
Boiadeiro Errante|3h8whA5jvlLqfK4rcbJMqY|0.431|0.515|239640|0.592|0.0|7|0.837|-7.345|1|0.0283|97.016|0.662
Comitiva Esperança|42r6oho7Bp6UUFu7ivw8LN|0.613|0.539|227080|0.608|0.0|2|0.668|-5.697|1|0.124|84.795|0.612
Tocando Em Frente|5hDTRwsOu3ZyZ9Ryq6iUnN|0.623|0.52|232120|0.626|0.0|0|0.723|-5.405|1|0.0288|93.007|0.495
Ámame|6UFCHCAQEchbBScuyxuzxh|0.503|0.53|221210|0.697|0.0|9|0.0955|-5.826|1|0.0896|185.85|0.866
Macumbia|4WycqQbmNSOTVMX8rzhY7d|0.358|0.812|183155|0.644|0.0|5|0.0819|-6.383|0|0.0732|97.095|0.979
Pa' que Tenga Swing|6ZVWfhVZ4GOPMroVNOYDDQ|0.426|0.805|175437|0.794|0.0|11|0.0776|-4.206|1|0.0434|93.017|0.972
Mi Vida Eres Tu|3bgB7dtO9sUuQ8JdByY1a4|0.726|0.499|217384|0.617|0.0|4|0.105|-5.268|1|0.0484|87.8|0.395
Porque Sera|2YncQjOi8qV90nIf4kbPJz|0.145|0.641|283029|0.63|1.45e-06|0|0.0849|-4.55|0|0.0272|80.023|0.203
Cuando Yo Amo|6whgku0TNOahkvHLK9MoG3|0.187|0.594|213285|0.622|0.0|2|0.19|-4.895|0|0.0339|140.298|0.372
Y Es Que Sucede Así|7pXuEZPcMT6aDpaKsMp73f|0.142|0.673|224587|0.717|1.2e-06|11|0.0638|-11.39|0|0.0578|149.64|0.83
Materialismo Sexual|7AJgtzvPdEz5T088TV1FGC|0.0485|0.669|235120|0.956|0.00334|7|0.0764|-12.579|1|0.0418|135.854|0.676
El Túnel del Bus|5NWMprk9tK31dYe7SIf6P7|0.0514|0.657|275107|0.644|0.00539|6|0.0884|-13.587|0|0.0501|105.061|0.924
Selección de Cumbias|7HJDlG2DTi0GUHbWCnXbIL|0.752|0.572|239624|0.396|0.0232|11|0.238|-14.082|0|0.0442|108.995|0.926
Josefana Va|2iRoeRMrQvRKEhxJN2XiBw|0.593|0.476|233156|0.53|0.642|4|0.0962|-11.584|1|0.0601|114.337|0.904
Selección de Charangas|3BfEfkbRazzxXr1trPEnGd|0.784|0.482|308440|0.441|0.288|2|0.14|-12.58|1|0.0471|109.952|0.894
Adeus Ceará|0O3OReugiIjIQ2xWt0dme7|0.317|0.728|153503|0.556|0.0|5|0.112|-14.041|1|0.0457|101.222|0.875
Cego Aderaldo|3KiRw4aGOgs0VhBspzovB4|0.161|0.641|136169|0.492|1.03e-06|2|0.352|-14.243|1|0.308|109.229|0.786
Cantador|4xOrXtG4RxfB6q72O6Ovif|0.558|0.702|101518|0.72|0.0|5|0.121|-11.907|1|0.0607|94.707|0.97
Que Siga el Baile|0FaBf0EsYEiFfOnPqudU1y|0.0491|0.752|192758|0.926|0.0|9|0.0926|-3.759|1|0.0766|147.971|0.933
Eres una Diosa|1Tig6WcN3uoCDSxTpBZ8Y4|0.454|0.746|211772|0.703|1.21e-05|7|0.112|-5.612|1|0.0366|96.054|0.856
Vivir Sin Tí|4qtoc8cSpocBK4qmeFtnyl|0.0696|0.654|238608|0.792|0.0|4|0.119|-5.687|1|0.0286|122.034|0.83
Sobran Los Momentos (En Vivo)|0dV78FxDrS9aqIaZaoAKBy|0.307|0.749|226932|0.874|0.0|0|0.361|-5.384|1|0.05|99.455|0.897
Vivo (En Vivo)|0PgDigxQhhXGTwG9UNm3cT|0.302|0.685|228396|0.897|0.0|1|0.984|-6.589|0|0.122|109.729|0.495
Todo Quedó (En Vivo)|5A20JnwFBZgPc1XmnV4Fxg|0.25|0.596|282696|0.758|1.02e-05|8|0.689|-5.956|1|0.199|191.978|0.793
Esta Lloviendo|5zFdghQqCdlB3Fz4Gat6zE|0.274|0.375|149167|0.814|0.0|9|0.19|-4.229|1|0.0416|93.967|0.855
Tomo Para Olvidarte|1TWdvHfakUBcsH7S12L1gq|0.23|0.6|61031|0.81|5.89e-06|4|0.395|-4.044|0|0.0519|95.749|0.816
Lagrimas|4V78KpMYxKH1fPdYIeDRrV|0.191|0.614|75512|0.771|1.44e-06|0|0.221|-4.219|1|0.0407|94.769|0.858
Te Llevas Mi Vida - En Vivo|14q1RJgzOhOwAGwWRwsFT3|0.737|0.591|127133|0.596|0.0|9|0.14|-11.144|1|0.0599|104.817|0.817
No Llores - En Vivo|4HQkBuFjwtpSBftw5JIb3g|0.77|0.628|130667|0.654|0.0|11|0.175|-11.206|1|0.0796|106.057|0.856
Tal Vez Será - En Vivo|18ddi4Tv6tDFJHGOUkkpN9|0.705|0.422|85467|0.743|0.0|7|0.0867|-11.88|0|0.228|203.99|0.856
Como Olvidarte - En vivo|55pV01DKW7q7M3WzffoJs5|0.186|0.689|271877|0.81|0.0|0|0.351|-6.95|1|0.0608|110.062|0.787
Si Te Llegaras a Ir - En vivo|3sWYqcHXxJ02pl3q0DzlIb|0.191|0.664|265284|0.908|2.4e-05|9|0.167|-7.24|1|0.0435|108.003|0.951
Dentro del Pecho - En vivo|7jcMd7xK37aSSDXQ4PNwX9|0.148|0.609|261080|0.724|0.0|7|0.266|-6.778|1|0.0362|97.92|0.761
0 Quizas Simplemente Le Regale Una Rosa|2zqXAkuWcSGRgbjMB6JaHu|0.7|0.551|205413|0.343|0.0|0|0.203|-14.238|1|0.0422|114.253|0.609
Alguna Vez Una Cancion|0VKSLfNEeD5ZOSs18SrTLS|0.382|0.365|216960|0.386|1.82e-05|9|0.327|-10.267|0|0.0308|111.373|0.389
Amanecer Y La Espera|5hItGec8gzZWTDzu7awucq|0.731|0.515|224733|0.372|0.0|8|0.0699|-11.576|0|0.0429|126.997|0.528
Tu la Tienes Que Pagar / Dame un Besito|7GWw2lZ8oopkkpDyAE8alJ|0.244|0.867|269454|0.664|0.0|7|0.146|-5.696|1|0.0375|119.967|0.83
Pequeñas Cosas / Besos Callejeros|3WvGSIe8aR7xjomuzJln83|0.264|0.742|260599|0.64|0.0|1|0.129|-5.085|1|0.031|126.077|0.773
Amor Prohibido / Como la Flor|2GvJQinpBdN3yKq1AALhsu|0.207|0.649|279276|0.581|3.82e-05|2|0.269|-7.128|1|0.0335|100.066|0.65
Llegó Borracho El Borracho (Original Version)|4o5K4DYtTQmTDm0Od1rS0V|0.731|0.47|184895|0.306|0.0|10|0.193|-7.157|1|0.0771|180.694|0.714
Camino De Guanajuato (Original Version)|1EUEhlaCAhJ53jHe0kh5Ku|0.836|0.383|194769|0.32|0.0|4|0.306|-8.568|1|0.0415|184.208|0.619
El Rey (Original Version)|3LSUkZUHiNTgZcbZWKpuro|0.576|0.386|135445|0.424|0.0|9|0.213|-6.684|1|0.0444|177.675|0.818
De Mi Enamórate|0iwNEpzDG2H5RH9aJHRe1z|0.541|0.384|206947|0.501|0.0|7|0.176|-9.846|0|0.0355|173.422|0.228
Quiero Amanecer Con Alguien|441esKZUDRKYgIslAbDjdF|0.383|0.581|247333|0.343|0.0|5|0.187|-8.355|0|0.0351|77.992|0.162
Adelante Corazón|7H1txnFTE2qWbGOIqZXdkg|0.544|0.574|205080|0.488|1.63e-05|8|0.0688|-7.443|1|0.0281|78.686|0.303
Voz Sensual|7knaX417Mx5CNbb45VKfzT|0.136|0.871|171067|0.634|0.000253|11|0.125|-7.818|1|0.139|105.192|0.773
He Chocado Con la Vida|6B6VNoZagXCFxelEF0gEyM|0.453|0.846|281373|0.51|1.39e-05|8|0.347|-12.032|1|0.413|90.116|0.604
Pase Lo Que Pase|5oyBLfFjgnNR3zRDOrg2Zq|0.0193|0.918|223813|0.66|0.00215|10|0.276|-6.86|0|0.0786|90.219|0.546
Tú|4QMuefpCSuWArtLbPuj60Y|0.0528|0.741|219780|0.69|2.58e-06|6|0.212|-7.844|1|0.0369|98.03|0.849
La Tortuga y el Elefante|2K6Ag3VlZWMLiBNIwBCx8A|0.0912|0.866|111997|0.64|0.0|5|0.127|-6.06|1|0.122|120.028|0.82
Fiesta|50gvyPmIb7F0FRMHyz6qcB|0.359|0.836|147299|0.828|0.0|0|0.181|-6.302|1|0.0928|124.948|0.853
Solteira no Verão|22dADGchPL9ckri6CxYW4Z|0.404|0.601|280529|0.578|8.66e-05|0|0.142|-11.942|1|0.0638|130.46|0.787
Tá Armando pra Sentar no Paredão|66E4I2e6DVgkfqW16rwqIA|0.619|0.725|223791|0.657|7.35e-06|9|0.327|-12.438|1|0.104|134.703|0.893
Vrau|31TgdFb1BFG9JAKX0c3OiY|0.292|0.853|133355|0.706|0.469|0|0.392|-10.901|1|0.0474|137.054|0.961
Quítame Ese Hombre - Live In Lima|0szJ7DNsyij61lsPRLnmGM|0.139|0.582|275030|0.802|9.45e-06|7|0.245|-6.553|1|0.0463|91.169|0.549
Has Perdido a Esta Mujer - Live In Lima|1EClWFVzUdhYpmxiW9THke|0.187|0.48|251713|0.785|0.0|8|0.346|-6.244|1|0.139|177.856|0.603
Mentiras Son - Live In Lima|7drysASP9J9zqQ63CAyaIB|0.218|0.626|305570|0.824|0.0|7|0.334|-6.055|1|0.0521|93.063|0.727
Pense em mim|0LabK8OQt39dri5To3gWi3|0.187|0.504|199320|0.599|0.0|11|0.0693|-8.927|1|0.0351|149.743|0.73
Cade você|3Ud2tX4YhfenPSnp3JldbF|0.375|0.661|182507|0.533|0.0|9|0.314|-9.744|1|0.0306|119.814|0.783
Entre tapas e beijos|3W9xj6qJGQWUKmYEPIHPmP|0.422|0.734|199600|0.575|0.0|2|0.245|-7.527|0|0.0666|119.045|0.792
El Otoño en Jujuy|5i6jTj7U0hDQa4cIiHRYxA|0.806|0.615|240675|0.561|1.69e-06|0|0.157|-6.939|1|0.093|140.974|0.363
Enamoraditos|2FPol3yi5bEMPUV4rZ9gX8|0.826|0.569|277711|0.631|0.0|4|0.15|-3.978|1|0.0505|74.755|0.83
Zamba del Hornocal|1akdomRU5JjkMMuRCQyxoO|0.923|0.613|243625|0.614|4.99e-05|0|0.235|-6.112|1|0.0423|140.074|0.528
Estoy de Nuevo - En Vivo|1u5UgjZdlMnFOoXFCyJUHT|0.306|0.544|203368|0.877|6.21e-05|10|0.699|-3.995|0|0.0489|86.787|0.767
Soy Mala Fama - En Vivo|6OgfQgwYmhqvmTPKPebPv4|0.326|0.496|198245|0.898|0.000227|10|0.272|-4.009|0|0.0729|87.856|0.611
Gorra Basura - En Vivo|3ZFykUa6eCug1RUaqZXksv|0.377|0.545|123727|0.874|3.78e-06|9|0.345|-4.116|0|0.0769|90.416|0.508
Adios Compae Gato|6gdPjFxWz9OoTzhI3Yoxkp|0.622|0.808|189428|0.561|0.000191|1|0.0711|-9.166|1|0.203|106.6|0.925
Amor Que Malo Eres|2e4QqHLmtxNxmvGObQxLvn|0.856|0.809|181513|0.326|1.5e-06|4|0.128|-9.72|1|0.0367|108.998|0.934
Aunque Me Cueste La Vida|4P7HZyVaOnNbAntbIdsg25|0.794|0.804|179815|0.31|0.000888|4|0.0932|-13.665|0|0.0671|109.593|0.94
Con la Mano Arriba|3aPiPViUZhq7KAGUSbZ4Sr|0.0617|0.893|274133|0.822|0.417|0|0.0747|-2.829|1|0.0547|95.736|0.947
Amarte Otra Vez|5oxedRMfR0I76UOYin3nrq|0.223|0.804|218053|0.526|0.0|1|0.0551|-3.189|1|0.0356|92.978|0.967
Fiesta de María|3gdhvfHNnIYldyVziGgosr|0.223|0.804|218053|0.526|0.0|1|0.0551|-3.189|1|0.0356|92.978|0.967
El Volcán del Ritmo|0e8Lcj0Zaj31V6Dkq5iPUh|0.0421|0.8|198600|0.826|3.24e-06|9|0.121|-5.068|1|0.101|122.671|0.763
Arrebatado|6c2iAiGQa7m2H0Lz7NsfUg|0.0018|0.764|205733|0.845|0.000106|7|0.138|-5.961|1|0.0403|89.605|0.716
No Quiere Parar|0cD3OqGkh4B6yoJ3n9XaTs|0.017|0.566|268667|0.797|0.0|11|0.0733|-4.328|1|0.0913|186.256|0.705
Hazle Caso al Corazon|6tpaf3Vw7Oak39iwTCB7EF|0.407|0.785|301293|0.536|8.12e-06|7|0.442|-11.402|1|0.0452|97.966|0.636
Porque Te Vas|0XADMXeeReV9aswXHWAZiR|0.495|0.727|282907|0.551|3.66e-05|10|0.275|-11.414|0|0.0431|167.949|0.888
Viviras para Olvidarme|3NSm61rfll4XHoqF8sVQPt|0.343|0.673|91478|0.511|0.00214|7|0.355|-11.767|0|0.0356|87.979|0.925
Abracadabra - Live|2rogAmlYBK2Ugk0QDJMkmv|0.446|0.646|256208|0.923|0.0|9|0.52|-3.691|0|0.234|132.494|0.87
Imaginarme Sin Ti - Live|5IrTReW8Nu8XzBFKtrvTj8|0.358|0.714|236428|0.883|0.0|0|0.162|-4.206|1|0.189|115.009|0.544
Tiburona - Live|6J2xiLZToDZntfFk0mGK9p|0.667|0.731|240951|0.919|0.0|6|0.651|-2.789|0|0.323|133.282|0.863
Amigo|0gW20okn8YtjBi1TewVxI7|0.451|0.69|219951|0.692|2.12e-06|5|0.111|-6.892|1|0.0282|101.001|0.872
Perdóname|0T6H131MSXXUMIEeD4Yr13|0.325|0.625|238586|0.835|4.49e-06|7|0.124|-6.934|0|0.0284|98.973|0.751
Mix Así Se Goza: Dolencias / Así Se Goza|2Y16RlvQrEKcOmaiEr1HX8|0.481|0.694|214176|0.877|0.0|2|0.0755|-6.562|1|0.0341|126.038|0.831
De Lune a Lune|5JATkbdBrVP7J4jeUxlCtm|0.401|0.675|170304|0.915|8.34e-05|3|0.172|-4.588|1|0.148|121.951|0.721
Comiendo Callao|1tfdIJ6uJ9b6V46zAzDo5q|0.138|0.556|171818|0.92|0.000366|2|0.0715|-3.24|0|0.045|176.137|0.563
Bachatica|1fJqRQDytp8QdFmFJTvPND|0.236|0.776|181678|0.824|2.27e-06|0|0.308|-6.288|0|0.0505|125.963|0.894
He Sentido Amor|68AK8RipYYI8b6L5qqBpHm|0.535|0.662|257493|0.827|5.18e-06|5|0.0982|-4.71|0|0.0312|105.017|0.773
Cuando Tú Te Vayas|2krgGLcojSxwyOY9gVSTCQ|0.762|0.813|192027|0.822|0.0|7|0.12|-4.151|1|0.0312|106.998|0.841
No Vuelvo Amar/ Te Extrañare - Mix|0Pk8FkPMqGkWkQbHkbi6jw|0.667|0.52|221827|0.904|0.0|3|0.283|-4.624|1|0.0429|100.084|0.469
Sigo en Pie|0GcTUdXO1kLr1S1syc4Aka|0.273|0.641|225160|0.508|0.0|1|0.0812|-7.351|1|0.0279|119.326|0.298
Una Vez Más|6uhWEtdE20EdmN0AGgHUdQ|0.206|0.364|231293|0.739|3.59e-05|7|0.101|-8.158|1|0.0315|94.318|0.39
Dile|3lpKeQOVCPPcp4HOAZt1vF|0.369|0.855|228707|0.903|0.0|5|0.0734|-8.059|0|0.0359|113.628|0.907
El Animal|05F1thB6owKPgzSS3tBNuW|0.11|0.844|194760|0.712|0.0194|7|0.342|-6.431|1|0.0513|122.053|0.96
Tocaito|5qNzGAfH6QvJvsCGfoX7sQ|0.177|0.911|210027|0.839|0.0142|8|0.0438|-5.055|1|0.0484|125.019|0.968
Sigo Vivo|7bODL9Muf1ICGyeH2bcur4|0.619|0.825|245480|0.737|0.0|9|0.282|-5.861|1|0.0294|130.029|0.957
Chora Que Passa - Ao Vivo|4SoKUAayQC0s7J4cKXqJb0|0.216|0.675|176469|0.708|0.0|5|0.418|-6.095|1|0.0454|107.067|0.529
Coração Quebrado - Ao Vivo|4fm4eW2n00Xy6z4UsbY9MG|0.618|0.429|189542|0.558|0.0|2|0.902|-4.991|1|0.0327|99.432|0.669
Sonho de um Caminhoneiro - Ao Vivo|5R8KBjRzWdwQzU6JgXO91R|0.548|0.642|224175|0.543|0.0|9|0.446|-6.597|1|0.0302|109.028|0.67
Hasta Mañana|0E7la0I7QrV6RKtBaCQqvg|0.476|0.638|232952|0.943|0.0|11|0.239|-3.036|0|0.111|91.622|0.783
Destampei - Ao Vivo|7kMM7YrA0qtHcblBftbH12|0.608|0.739|197312|0.951|0.00029|1|0.955|-2.153|1|0.0618|150.049|0.859
Tô Na Sua Mente - Ao Vivo|0YVZGn13AOLUCEUgfSp2nd|0.726|0.542|217024|0.861|0.0|6|0.388|-2.405|0|0.285|74.681|0.55
Toma - Ao Vivo|1WodsD9eiNsgGOlZqCEooA|0.682|0.836|153237|0.958|0.0|9|0.97|-1.816|1|0.0995|125.03|0.809
Bella Sin Alma|45Na0Ob2JJqCU18bdGfZbA|0.188|0.279|210307|0.659|2.01e-06|5|0.147|-6.145|1|0.0477|171.791|0.179
La Hiedra|0kJnPwgwuvuwRfQVq5Sbz8|0.484|0.655|212293|0.563|0.0|7|0.111|-7.092|1|0.0452|91.496|0.465
Sapore Di Sale|0FY7DPlmak72TTRglqmD4J|0.0569|0.456|189387|0.715|0.0|0|0.0952|-4.42|1|0.0416|71.783|0.341
