,id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence
Las 4 estaciones porteñas: I. Primavera Portena,1zBN7cuqnqpBtDCcFCNTBr,0.763,0.504,325000,0.177,0.15,7,0.0647,-17.292,0,0.0437,132.725,0.465
De Este Lado,5oatWdyltiejVWlnbu47Xv,0.0126,0.78,248113,0.545,0.0,8,0.126,-5.332,0,0.0574,174.01,0.959
Futuro,7yiGxaOhACdutsRII9W619,0.00671,0.631,265750,0.859,3.45e-06,9,0.227,-5.254,1,0.0292,160.011,0.86
Nothing Without You,24sjzIx8TnP97IoEa6pmiN,0.0206,0.434,212227,0.717,1.01e-06,1,0.0942,-6.727,0,0.0494,180.082,0.389
Stay Above,44oWAarlWsmnlyoTB6wVxz,0.227,0.779,149020,0.703,0.0,8,0.0514,-3.823,1,0.0363,84.999,0.771
You and I Both,71M4QMn8nrok1KFVXwEEyU,0.184,0.615,218240,0.812,0.0,7,0.328,-6.573,1,0.0458,98.954,0.74
Tocarte Toa - Instrumental,3GTFuBl3RAToz8OwwvIRzc,0.043,0.834,163944,0.824,0.885,0,0.125,-7.095,1,0.0454,99.991,0.62
Luna,0t4fl13TWSr8ssAISVttDv,0.522,0.594,240095,0.627,9.89e-05,7,0.356,-8.176,1,0.0594,139.371,0.539
Yes Tonight Josephine,2BJYDl5oa6eTCLTzQRo7rV,0.371,0.604,192000,0.906,0.0,3,0.0996,-7.326,1,0.053,104.057,0.86
Mi Expresión,4rWrcXSTph8ZTzYp8SisxB,0.527,0.766,253947,0.733,0.0,6,0.0664,-5.025,0,0.0448,107.466,0.801
Eiti-Leda (Remasterizado 2021),6kbpMfsWlfpB2zFTDUH92f,0.874,0.368,418443,0.449,0.0869,11,0.178,-9.764,1,0.0347,107.983,0.286
Poco Tiempo,6Us4NfZxT6XrQJFpDivRxL,0.139,0.732,174080,0.929,0.0,7,0.119,-6.89,1,0.0486,105.014,0.919
Breathe (demo),1eK5DZafk5MRjhpo7oZkZI,0.0944,0.686,114790,0.663,0.105,9,0.114,-5.865,1,0.0698,110.082,0.0348
Intro,2ExEHOIvl0LuZ7cejH3PG6,0.966,0.12,24064,0.0635,1.46e-06,0,0.524,-30.632,0,0.0418,76.244,0.392
El día de la mujer mundial - 2022 Remaster,5Z79QCKknX3BWirRxfbmeL,0.238,0.402,207800,0.766,0.00245,4,0.287,-9.165,0,0.0315,81.721,0.697
Pause,2lPjqGphaeKbOUyEq4QIkJ,0.443,0.892,146750,0.607,4.08e-06,7,0.099,-6.619,1,0.341,94.051,0.728
Intro,1E9YkNvNXuHGcOiAiC9rcC,0.769,0.607,277790,0.396,0.0,2,0.373,-9.983,0,0.139,71.63,0.771
Mondo Groovy - En Vivo,7oIK0sIAHn3rl1IPD8I1VP,0.0757,0.588,234110,0.867,0.00143,0,0.0408,-5.156,1,0.0625,187.988,0.929
Los Cachos,3eUR4NZa2hc8ZulyFYdCv8,0.108,0.774,212304,0.73,0.0,0,0.194,-3.865,1,0.134,91.966,0.421
Para Sentirme Libre (feat. Rayko B.),3TkUK0EOLajGoxUsoc19gr,0.225,0.679,219000,0.599,0.0,7,0.105,-6.085,1,0.186,79.89,0.922
A Mover el Culo,4OWxMVxaovn4jM8VvGUwHe,0.0751,0.924,137613,0.951,0.0,1,0.301,-6.836,0,0.118,113.366,0.844
Me Sobrepasa,6nLBl3hzByuZnTC8hUZ46x,0.672,0.7,212307,0.3,5.87e-06,2,0.0706,-9.813,1,0.0359,125.053,0.213
Tumbando Muros,5W51o7FZxm3eaJD0htNOos,0.016,0.538,146899,0.968,1.35e-06,3,0.0594,-3.53,1,0.171,180.029,0.431
Vivir Así Es Morir de Amor,2JBGoJqzvPAsGa0eo7zcNg,0.0184,0.56,220493,0.954,0.0,7,0.412,-1.951,0,0.0573,100.007,0.764
20Veinte,33qnb1ERHxJncu45mb9Urm,0.873,0.459,94283,0.677,0.882,4,0.199,-10.676,0,0.171,87.234,0.0957
Entre Tus Manos - En Vivo,5Vz5f0lcUvOyuXeiDPYNtq,0.962,0.383,171800,0.273,4.05e-06,0,0.102,-6.543,1,0.0325,132.221,0.244
Trap de Free Fire,6hhI7D9oJSpWTIOcHrKSI5,0.0177,0.884,372295,0.878,0.000118,1,0.0909,-6.126,1,0.0814,122.005,0.802
Sauve qui aime,42pSWXriqpyfnFMOYkZR6A,0.164,0.779,161240,0.786,0.0,3,0.0591,-4.469,0,0.0345,129.978,0.966
La Alianza,1tOI0EPxQdAjGEbwGyFsoK,0.53,0.534,282293,0.475,0.0,7,0.104,-6.242,1,0.031,146.014,0.389
Desperté,5MUArEfVcI58wHXy5ovchP,0.0846,0.461,243825,0.682,0.0,0,0.114,-5.022,1,0.0323,126.889,0.327
Estabas Ahí,2UQf29q3l9Lnf9JP2KJ4Mn,0.0568,0.574,202227,0.929,0.43,1,0.34,-9.395,1,0.0371,117.08,0.276
Popular,3uEx77R6b16SAltboKfQjh,0.183,0.671,270907,0.748,0.162,7,0.0911,-6.478,1,0.0269,131.981,0.708
Paréntesis,2meZcUVQazrdxaIcxzm7DL,0.499,0.676,221427,0.54,0.0,1,0.426,-12.312,1,0.0472,129.948,0.864
Dakini Tangarareh,56TzKFJVhSdkYAFCwWYTjI,0.0189,0.763,181507,0.757,0.0,0,0.0545,-5.655,1,0.0485,89.999,0.525
Em Teus Olhos,50tmxsdC16qWNgw1wo3zUg,0.733,0.521,268573,0.364,0.000123,4,0.111,-9.819,1,0.0311,203.922,0.639
Besitos Sin Amor,71qalFP4pNXwXjEcxKTEVe,0.202,0.793,180619,0.853,0.0,4,0.338,-3.83,1,0.0635,97.002,0.628
Afuera,3pJfnBjO3kjudEchcPEDxS,0.209,0.487,288600,0.553,2.81e-05,6,0.0992,-11.197,0,0.0425,126.043,0.699
El que Canta Su Mal Espanta - En Directo,0Sr4QjZKqfjgQQTP9aSv69,0.063,0.485,217771,0.876,1.8e-05,2,0.984,-5.647,0,0.105,148.156,0.681
Wannabe,7sn2JJ4J09YBmo3svDSBQk,0.0798,0.732,217638,0.818,0.0,0,0.0813,-3.689,1,0.0371,107.033,0.782
Si el Mundo Se Acabara Hoy,0GSfpTx4874v2kv0x4OXBx,0.577,0.828,192000,0.201,0.0,1,0.134,-14.488,0,0.0993,119.929,0.458
Expectations,4f8biBbYF3EGuI7qN8McGj,0.333,0.491,169733,0.744,8.45e-06,8,0.258,-5.923,1,0.157,194.029,0.334
A Mí,4Spbk4DO6r0i6wcikWxQiB,0.0104,0.324,204373,0.555,1.16e-05,9,0.128,-5.467,1,0.0542,180.042,0.502
Mi Superman,39wheDXasVCmp8o1VNBIIv,0.327,0.649,190971,0.532,0.0,7,0.371,-5.413,1,0.0591,181.947,0.54
vivo en las canciones,1jf6cPChUfjNGHGYoMsPSs,0.982,0.487,17587,0.0268,0.945,5,0.0767,-18.972,0,0.0629,109.863,0.0
Remedios,0eiXDmnxUWCsR6nEDLE6PM,0.292,0.591,238738,0.614,0.494,8,0.109,-9.215,1,0.0315,115.008,0.141
The Dream Of Christmas,2VACcivq4kKvsqJyO3rP9n,0.865,0.447,212933,0.142,0.0,0,0.101,-13.276,1,0.0293,82.935,0.124
I Don't Need'em,1odIVWXJN8beVVDAwwFmYl,0.0137,0.555,174000,0.806,0.0,11,0.103,-7.08,0,0.242,107.845,0.266
Bienvenidos Al Show,1zcoKXkjNP3DXeF9NAhgcm,0.348,0.571,228253,0.715,0.0,7,0.135,-5.303,1,0.0646,141.882,0.336
En Tu Poder,2CNhSioNmHxwylaqpJgnSU,0.0992,0.743,218707,0.532,2.31e-06,10,0.0504,-11.026,0,0.0372,110.018,0.661
Caraluna - Re-Recorded,61Ta7b6wjBzibzbTMR3SWB,0.0744,0.684,274698,0.913,0.0,9,0.0956,-4.274,1,0.0631,100.99,0.638
This Christmas,6ujhlehHDeg7RDOe8uCOMp,0.0808,0.569,292027,0.676,3.06e-05,1,0.116,-11.369,1,0.0488,90.03,0.791
Turn Off,73DU62A50GBJ3MVXTYYRQi,0.0249,0.753,222853,0.963,0.252,7,0.179,-4.998,1,0.0531,110.0,0.593
Good Thing,0n6OQeOTq5I5SLze9FmbuS,0.0181,0.542,211914,0.659,0.0,1,0.0732,-6.495,1,0.301,153.907,0.669
Only Love,6ddoRbbTW1djEVoaG69MtH,0.691,0.412,163053,0.332,0.0,1,0.352,-7.459,1,0.0353,82.936,0.243
Tenemos Que Cambiar Este País,1WaVnCG4LFCPB4nrK656S1,0.00286,0.652,190000,0.815,0.0,9,0.296,-4.374,1,0.0285,130.021,0.765
Amándote (feat. Jandy Feliz),4cyMj3kQwS0eIgGtQg3ozR,0.236,0.789,203127,0.791,0.0,0,0.0982,-3.78,1,0.0347,128.008,0.882
El Problemón,341yVMdDoVfyyLONHM8Wi6,0.07,0.775,214414,0.785,0.0,9,0.123,-6.272,1,0.0563,122.57,0.806
Wilder,7arj2yeXApHoGKmzCpSAXH,0.146,0.63,205984,0.767,0.0,1,0.304,-6.162,1,0.0377,123.932,0.591
Pablo,0PIS96uNPq7xh0QDSG1Eb0,0.627,0.696,185504,0.386,0.228,5,0.322,-6.494,0,0.0526,110.995,0.499
Vamos por la Ruta 7,4ztkMnewNqU5bC7qlxdXiV,0.139,0.702,250880,0.627,0.000309,0,0.221,-6.599,1,0.028,126.068,0.584
Roast Yourself Challenge,6PKOxmWhx5xVYlA83tbiCD,0.331,0.931,152211,0.722,7.13e-06,5,0.0772,-9.875,1,0.246,95.044,0.899
I Wanna Dance With Somebody (Who Loves Me),1uMmvZ8fmYUinSVbs5HTpK,0.111,0.829,270304,0.743,0.0213,3,0.107,-5.249,0,0.0556,118.999,0.567
Es Así,5T2rgtWVceXU5nQ4FP1etK,0.0544,0.916,160120,0.64,0.0,5,0.0885,-6.163,0,0.0839,134.979,0.788
Fuego,7GjjYh2TGTKBdnTAir95yn,0.0323,0.605,151250,0.737,0.000622,6,0.0999,-3.729,1,0.211,192.222,0.77
El ritmo del garaje - Remaster 30 aniversario,3fefswogFhqR6NdBKPtLeH,0.0701,0.591,295667,0.591,0.11,7,0.117,-6.315,1,0.102,140.188,0.872
70 Veces 7 - En Vivo,4vA4HGkgoxAPqITVeKSpWP,0.00559,0.743,295719,0.694,9.88e-05,7,0.0646,-11.122,1,0.0415,119.929,0.284
Do Dat,6F2Rc7MkupmwhgzEWKURe7,0.0275,0.813,149109,0.63,0.0,10,0.197,-5.264,1,0.0604,101.022,0.91
Derrama la Unción,0GB1V0fvIVBzSmoctc71iu,0.407,0.52,278255,0.58,0.0,6,0.0847,-7.123,1,0.028,135.953,0.387
Familia,2rynuKMLPkCXG8GV088JAa,0.985,0.403,17812,0.0561,0.924,9,0.318,-15.328,1,0.0485,139.428,0.0
Morgen,6ZqQ5JdBcyk77UbKYpj6vw,0.0739,0.575,163507,0.863,0.0,5,0.0928,-4.275,0,0.102,147.963,0.564
emails i can’t send,6xi4KL7KDYjzz3wuvLBeOg,0.732,0.505,104408,0.362,0.0,4,0.622,-10.586,0,0.103,133.95,0.498
Del Uno Al Diez,5Yzwf1YOnJCdy9bj9BSRJc,0.2,0.623,175912,0.848,0.0,7,0.122,-3.792,1,0.0767,102.994,0.649
Night In The Club,58ipp68NddnHBMqlLAJUvU,0.0784,0.882,149711,0.679,0.0,1,0.163,-8.038,0,0.218,147.945,0.888
Me Vale,2agNZyTgQA8qPjgLiEiMfh,0.00145,0.525,195538,0.782,0.0,9,0.0778,-4.158,1,0.0619,159.926,0.738
We Go Down Together (with Khalid),2Y67qsABsPKMrvCxPCzL6r,0.652,0.494,184963,0.348,1.07e-05,9,0.0859,-9.791,0,0.03,104.923,0.134
Dama,62ByAU7oGvXTppn9p77Gi5,0.00421,0.597,202164,0.626,0.0542,9,0.138,-11.672,0,0.0347,134.064,0.739
Mírame Ahora,35BPQ4vrsFMbIYXGx2W4w5,0.14,0.562,204609,0.78,0.0,5,0.116,-3.146,1,0.0949,155.818,0.389
Go,1pb4rowfr49R2Y3H42vWaq,0.0201,0.627,193693,0.903,0.0,7,0.278,-2.983,1,0.0523,127.969,0.71
Lazy Days,3pp9X9Raby3bYHAiJJtDbA,9.72e-05,0.225,234147,0.835,0.0,10,0.141,-6.186,1,0.0484,174.265,0.402
Intro Medly (Mi Plan / Quiero) - En Vivo,7MZGJS9B9Ayg5Sa06NidjI,0.265,0.516,379707,0.564,0.0,0,0.152,-9.692,1,0.0513,119.903,0.345
El Teatro Espera,4zGeIiugWhL0q2kaSgJOee,0.394,0.792,198093,0.492,0.0,2,0.0954,-9.24,1,0.0548,92.083,0.624
Tequila Con Miel,5iXPhzHxPbDlaa26SpF5Jh,0.228,0.83,200340,0.697,8.73e-05,5,0.0903,-6.254,0,0.139,101.981,0.558
Ya Es Hora,2SKNarYKa7W0iCOq7u96N8,0.0323,0.771,206000,0.818,0.0,2,0.196,-5.565,0,0.0819,99.979,0.654
Se Va,5X5sPCzMZmv25v4M7UdbdC,0.000159,0.324,194093,0.7,0.000273,7,0.213,-5.074,0,0.0364,180.099,0.245
In You,6Ps8461D6xl3DHQ93mCPT2,0.0491,0.893,205773,0.655,0.0,11,0.0929,-8.006,1,0.277,142.017,0.339
A Change Is Going To Come,1qQ5uGxMQX7n9zIIEY1t1i,0.747,0.515,282160,0.314,0.0,5,0.0994,-10.389,0,0.0269,84.054,0.26
Atrium,5gJP8prOoglBjf99mxOZXM,0.978,0.167,114594,0.02,0.000915,0,0.102,-24.471,1,0.0403,71.03,0.0981
Ire Contigo,6LgAHSj2CsPWekVg0AaNh9,0.135,0.622,200280,0.71,0.0,11,0.149,-3.995,1,0.0284,120.906,0.545
Básicamente,6iKFebFmd3r98aV2QOS9RG,0.336,0.533,145000,0.596,0.0,2,0.126,-6.185,1,0.0474,125.937,0.313
Pa'lla Voy,4lx30PoOuOlYqZ1axvL3y0,0.506,0.692,247600,0.926,0.000211,9,0.0527,-4.548,0,0.0548,95.998,0.966
Every Time I Think of You,2aRDJp10Kj8eEWqQ8A4jvo,0.331,0.686,269800,0.301,0.000692,8,0.147,-16.902,1,0.033,135.772,0.556
Lo Que Pudo Ser,3ScwR4efZxdSv21ykUzi2E,0.0148,0.38,225000,0.737,0.0119,9,0.0969,-4.074,0,0.0301,157.919,0.449
Toxic Love,2gehHojZKUEv6XABffQT6X,0.482,0.719,185060,0.719,0.000174,6,0.119,-5.691,1,0.0769,165.979,0.624
Stand (in the Light),2josuQRdBULON1MvX2gaDe,0.535,0.587,289280,0.462,0.0,4,0.122,-8.599,0,0.0344,102.943,0.309
A Dios Le Pido - Remastered 2022,1qLtWgyXlpEgAstbyksv4V,0.0204,0.674,205427,0.839,0.0,7,0.0912,-3.384,1,0.0606,96.967,0.917
Crescent Moon,65GHzL6BGgba4Ms9BbuKWI,0.512,0.682,199042,0.506,7.18e-06,6,0.407,-3.819,1,0.0474,63.99,0.529
Escuela de Calor,5FnjGEbCGHGKw49g6WppfP,0.104,0.695,210880,0.914,0.0227,2,0.0297,-5.728,1,0.0335,122.026,0.953
A Tus Pies - Mix,3GpLjKCLRTqCbTX3hda1lM,0.951,0.488,260000,0.222,0.0,5,0.135,-8.169,1,0.0305,132.103,0.356
Little Havana (feat. Willie Falcon & The-Dream),6YJ3Axj3S2Yrg9Jtfrio66,0.297,0.589,226072,0.654,0.0,3,0.199,-4.633,0,0.299,86.284,0.49
Irgendwann ist jetzt,3l6oLtuZGQB1HFMGcihHmR,0.0784,0.829,178673,0.618,3.38e-06,2,0.0544,-5.104,1,0.0501,113.01,0.887
Intro,3YJEyVQofYTJDOEbfUxhHO,0.116,0.677,98413,0.611,0.000115,5,0.248,-6.987,1,0.0601,96.996,0.586
Sin Talento (Roast Youself Challenge),7vaNp7b7NLDJIfy2avyhBg,0.0687,0.872,163312,0.808,0.0,8,0.138,-2.916,1,0.144,96.959,0.666
Modo Amar,1166LHUVPmORA4CR0nhTHc,0.0106,0.574,185067,0.666,0.0,11,0.247,-6.505,1,0.0588,92.956,0.694
Brighter Days,5yqLsRYeBZ1XpLzVIzxfcn,0.182,0.706,226687,0.465,0.000599,2,0.0863,-8.953,1,0.0581,89.995,0.779
Todo Es Tan Distinto,1nc5kQOFw5KbF5WoRL48OG,0.787,0.466,168000,0.363,0.0,5,0.157,-7.888,1,0.0382,199.903,0.566
Ave de Fatima,5qHTM62dFPo4XZqLIPgo3l,0.344,0.54,188414,0.595,0.0,2,0.223,-6.24,1,0.0255,147.167,0.768
Ana y Choni - Nueva mezcla 2017,17qWZZRWZeTAYzbFJMIqlN,0.000583,0.512,172934,0.885,0.186,4,0.194,-5.609,0,0.0683,161.185,0.639
Epicentro,4HQhkWIKKcTImkRxDRGGw3,0.0344,0.581,187500,0.7,0.0,11,0.24,-4.665,1,0.0455,165.046,0.328
Perro Amor Explota,3spROEQ1efxDANLSjnGJKA,0.037,0.7,255000,0.535,1.29e-05,4,0.274,-8.556,0,0.0397,129.052,0.612
Starlight,6IIqISCKO3V9Jnm0DnzQEX,0.00853,0.552,224147,0.708,0.0,1,0.09,-6.332,1,0.0366,130.014,0.52
Varca Lucente,4FDAKN9O2rIi1Tacy5qJ2C,0.852,0.46,323965,0.276,4.02e-06,6,0.109,-11.849,0,0.0355,136.395,0.234
Te Hace Feliz,45RClYhxCpueeYrBZjcVp9,0.0869,0.647,175940,0.879,2.72e-06,7,0.0562,-5.306,1,0.0477,128.042,0.895
Lo Que No Recuerdo No Pasó - En Vivo Desde El Parque Fundidora,5FcdyHByDUReirMlhML3Q3,0.00617,0.487,220787,0.895,0.0,0,0.428,-8.194,1,0.129,136.925,0.435
Himnostalgia,5k06nQmjWb3ItuFJEn6RBh,0.423,0.603,100228,0.755,0.0,3,0.115,-7.055,0,0.369,122.188,0.656
Intro,7oJgCLxHGk3UsvONL08B4U,0.541,0.91,55773,0.472,0.000125,0,0.116,-11.538,1,0.348,125.106,0.942
A New Year (Skit),75OsGKs5lJFyHkYWfqfIt9,0.652,0.396,131707,0.775,0.0,6,0.911,-9.732,1,0.361,96.709,0.533
I Pray (Remix) - Remastered,5dY5S4ctMQwUDP65YoWOLv,0.351,0.856,242068,0.516,0.0,0,0.0826,-8.143,1,0.0569,124.998,0.584
Cuando Seas Grande,25NeGSHqObqSJg79oir7pB,0.0535,0.627,265707,0.736,3.33e-05,4,0.0239,-6.715,1,0.0386,144.651,0.774
Aventurero,5nwKrZxqJST4jFgYf9TuBx,0.69,0.895,209500,0.54,0.00381,11,0.309,-8.94,1,0.039,130.018,0.888
Hurts Out Loud,55uppgW2w5JMO8C3CoPl5C,0.89,0.504,176842,0.336,1.73e-06,10,0.155,-9.174,1,0.0452,75.965,0.361
